"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12","sample-13","sample-14","sample-15","sample-16","sample-17","sample-18","sample-19","sample-20","sample-21","sample-22","sample-23","sample-24","sample-25","sample-26","sample-27","sample-28","sample-29","sample-30","sample-31","sample-32","sample-33","sample-34","sample-35","sample-36","sample-37","sample-38","sample-39","sample-40","sample-41","sample-42","sample-43","sample-44"
"Actinomycetaceae",0,2,9,4,0,3,10,24,9,19,0,0,5,5,4,9,9,8,14,6,0,5,5,1,0,0,5,3,0,0,0,0,0,3,0,0,1,0,12,10,0,5,0,5
"Aerococcus",6,6,2,0,13,0,13,21,9,0,6,0,12,17,0,2,0,8,20,13,0,0,9,0,11,7,0,0,0,0,0,4,0,6,5,26,10,24,0,0,3,3,4,2
"Aeromonas",0,16,11,18,0,0,7,0,10,11,7,8,12,6,4,0,2,0,34,31,1,5,0,13,2,4,0,0,1,1,1,0,0,0,13,25,0,1,0,0,17,13,5,10
"Akkermansia",224,186,224,179,241,416,357,276,804,334,714,650,223,272,110,141,1243,156,314,571,553,1451,220,137,206,143,2870,2567,212,287,445,411,125,115,142,229,225,250,1474,2414,245,341,708,343
"Alcaligenes faecalis et rel.",0,0,12,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allistipes et rel.",169,107,194,216,277,312,99,123,44,86,189,151,228,348,125,171,457,288,248,365,157,267,345,276,213,196,588,533,272,439,231,230,89,27,182,47,309,97,301,258,66,69,181,182
"Anaerobiospirillum",0,3,0,8,0,0,2,0,0,1,0,20,1,0,0,0,3,0,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Anaerofustis",20,30,20,24,20,24,30,32,46,39,28,37,36,48,12,12,104,79,175,191,16,14,24,29,23,24,10,5,15,14,21,26,13,18,35,63,16,24,19,19,45,27,12,13
"Anaerostipes caccae et rel.",360,619,385,312,529,505,490,400,802,904,596,337,677,642,435,313,613,496,687,606,336,283,423,410,527,436,303,699,349,258,647,579,444,501,821,657,338,488,245,285,839,684,355,346
"Anaerotruncus colihominis et rel.",10,54,64,88,42,49,154,152,35,29,91,115,67,58,131,133,145,128,20,36,103,149,44,20,21,19,92,67,51,57,72,82,73,70,23,14,72,94,103,83,94,57,31,64
"Anaerovorax odorimutans et rel.",64,69,74,107,82,166,101,113,174,69,159,266,91,135,54,83,127,103,65,134,76,133,44,50,91,96,121,226,31,41,89,71,90,64,18,38,108,200,83,109,227,180,95,92
"Aneurinibacillus",8,7,8,7,4,4,15,17,35,25,26,15,37,58,8,11,11,16,56,70,16,12,23,8,21,22,2,8,5,7,23,21,13,15,10,20,21,38,14,15,46,31,0,0
"Aquabacterium",45,77,89,79,17,32,70,54,88,295,17,53,34,19,51,23,61,91,84,86,8,81,33,76,22,20,7,19,5,5,8,8,8,8,34,59,31,43,0,0,36,23,29,49
"Asteroleplasma et rel.",0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
